"Iteration","Thrust (Turbine1) Monitor: Thrust (Turbine1) Monitor (N)","Thrust (Turbine2) Monitor: Thrust (Turbine2) Monitor (N)"
681.0,510292.0170539882,338753.8400282376
682.0,510291.1400806211,338754.83772000467
683.0,510290.2702215415,338755.8188179648
684.0,510289.4071245228,338756.78349449893
685.0,510288.5508829482,338757.7320927524
686.0,510287.70164994133,338758.6649928115
687.0,510286.85970982315,338759.5827883865
688.0,510286.0249074316,338760.4857735853
689.0,510285.19741430564,338761.37438529736
690.0,510284.37718463974,338762.24924654985
691.0,510283.56368421466,338763.1106835118
692.0,510282.7576577759,338763.9591405218
693.0,510281.95950675977,338764.7952230389
694.0,510281.1690637008,338765.61925268604
695.0,510280.38644569775,338766.4316459667
696.0,510279.6118121569,338767.2329641206
697.0,510278.84493601223,338768.02348266094
698.0,510278.0859611718,338768.8037067212
699.0,510277.3346424504,338769.5738585681
700.0,510276.591128294,338770.3343866094
701.0,510275.8552098308,338771.08547174925
702.0,510275.1270512684,338771.82750507
703.0,510274.4064494165,338772.56061318296
704.0,510273.69355460966,338773.28513855336
705.0,510272.9881501957,338774.0011696566
706.0,510272.2903417655,338774.70900433284
707.0,510271.5998582329,338775.40869458864
708.0,510270.9168495052,338776.10049427196
709.0,510270.2411038104,338776.7844268776
710.0,510269.57273198524,338777.46071395196
711.0,510268.91150351503,338778.1293572403
712.0,510268.2575185035,338778.79055322503
713.0,510267.61055154883,338779.4442871729
714.0,510266.9707016881,338780.09073788184
715.0,510266.33778112987,338780.7298828269
716.0,510265.7120039909,338781.36189053656
717.0,510265.0930773128,338781.98673568276
718.0,510264.481043232,338782.60457903193
719.0,510263.8757098131,338783.2153963512
720.0,510263.2772170978,338783.8193439127
721.0,510262.6854230522,338784.41640015534
722.0,510262.10043202405,338785.00662586896
723.0,510261.52238434786,338785.5901857241
724.0,510260.95112571726,338786.1670693585
725.0,510260.38675835496,338786.73743691324
726.0,510259.82909034425,338787.30128046166
727.0,510259.27817559836,338787.85866821767
728.0,510258.7341021602,338788.40976481023
729.0,510258.19668351824,338788.95456558646
730.0,510257.6659729383,338789.49322577653
731.0,510257.1417588417,338790.0257376627
732.0,510256.62405421794,338790.5521630595
733.0,510256.11290386243,338791.07265009783
734.0,510255.60809930734,338791.5871889842
735.0,510255.1096338336,338792.09583023883
