"Iteration","Thrust (Turbine1) Monitor: Thrust (Turbine1) Monitor (N)","Thrust (Turbine2) Monitor: Thrust (Turbine2) Monitor (N)"
168.0,514448.80810356233,335858.18733289995
169.0,514462.6567965908,335521.6312402378
170.0,514497.7172064051,335196.1535877384
171.0,514517.5345443208,334895.389188472
172.0,514522.5498590032,334625.5507740837
173.0,514547.5328729153,334366.2640693811
174.0,514552.7822938219,334133.7376199215
175.0,514561.11540381494,333920.9078731078
176.0,514565.4661668124,333728.17627604795
177.0,514567.1683564816,333554.69852669036
178.0,514567.02912199986,333399.61159350973
179.0,514564.7766747279,333261.94110377075
180.0,514560.06456415285,333140.67320561555
181.0,514553.4687230145,333035.10394551326
182.0,514545.04590746335,332944.178388292
183.0,514535.61092585995,332867.15770730237
184.0,514525.0101846092,332803.3068595811
185.0,514513.18558340246,332751.7676752249
186.0,514500.61470388604,332711.8430649159
187.0,514487.1873805276,332682.8424245979
188.0,514473.25017328135,332664.0072149457
189.0,514458.87771810894,332654.727041989
190.0,514444.54749675706,332654.3858098207
191.0,514429.32390074176,332662.3090991551
192.0,514414.25432856125,332677.960043576
193.0,514398.978442099,332700.81485215435
194.0,514383.46492934594,332730.3316335454
195.0,514367.8403256721,332765.9355528574
196.0,514352.20428921055,332807.11411309196
197.0,514336.2059519116,332853.32850691216
198.0,514319.84824647126,332904.09480507835
199.0,514303.07980402326,332958.91819777864
200.0,514285.848618544,333017.40169067465
201.0,514268.1880384542,333079.1675741017
202.0,514250.25753571093,333143.82778756774
203.0,514231.70218369405,333210.9500048596
204.0,514212.6016780395,333280.1652134867
205.0,514192.8913555167,333351.0582008717
206.0,514174.4899932934,333423.2668549396
207.0,514151.17014165147,333496.3300377207
208.0,514129.88553563325,333570.3890337048
209.0,514109.5577923746,333644.8498156788
210.0,514084.8633881736,333719.151314881
211.0,514062.381361942,333793.5464888692
212.0,514041.7726569874,333867.69458415394
213.0,514016.30700814683,333940.7600717616
214.0,513993.3998838225,334013.3553443165
215.0,513972.32084646105,334085.2035841233
216.0,513946.6493639948,334155.4123999433
217.0,513925.46535190335,334224.9499614272
218.0,513899.6254316768,334292.6233300473
219.0,513878.1127941887,334359.4617016981
220.0,513852.34366042895,334424.212209814
221.0,513830.61397703964,334488.05605519685
222.0,513804.6808435607,334549.77944091056
223.0,513782.2750289639,334610.55172767444
224.0,513756.40957343404,334669.25084295473
225.0,513734.01037088846,334727.0233141857
226.0,513708.47613622696,334782.7513806482
227.0,513686.2460734531,334837.6512948455
228.0,513661.05877426424,334890.6411075752
229.0,513638.6595377862,334942.9137420656
230.0,513613.27871507383,334993.4283009815
231.0,513590.63596326386,335043.3409704314
232.0,513565.11821593175,335091.6967532204
233.0,513542.13908041565,335139.5665825044
234.0,513516.308747569,335186.0686963064
235.0,513492.9330105502,335232.1794913557
236.0,513466.86952963733,335277.1016700361
237.0,513443.06974545337,335321.7192049857
238.0,513416.57677281427,335365.31373430014
239.0,513392.3012395119,335408.6336363683
240.0,513365.54458684014,335451.05261300073
241.0,513340.9158653753,335493.2339440816
242.0,513313.69761057483,335534.61529871396
243.0,513288.893230692,335575.77275199443
244.0,513263.291962752,335616.3388782324
245.0,513236.4907041218,335656.29725173954
246.0,513212.0455030114,335696.0333392154
247.0,513186.4606110984,335735.2099506479
248.0,513159.4303814841,335773.82276918547
249.0,513134.4509748365,335812.20957274165
250.0,513108.3073770935,335850.0627877773
251.0,513080.77957383555,335887.3824201306
252.0,513055.13967484154,335924.4762357478
253.0,513028.3279149227,335961.04918187927
254.0,513000.2104667197,335997.11009100324
255.0,512974.0055907811,336032.9623077668
256.0,512946.77802980813,336068.31317535404
257.0,512918.29455164034,336103.15519263025
258.0,512892.0506496457,336137.8174178919
259.0,512864.6998781711,336172.0042311603
260.0,512836.27305361803,336205.72928400204
261.0,512809.99311350804,336239.29753648635
262.0,512782.8083297731,336272.41576318553
263.0,512755.6564960836,336305.19558995205
264.0,512727.42531258357,336337.5646933443
265.0,512701.0276309812,336369.7801911306
266.0,512674.05703715037,336401.58617264923
267.0,512647.38266345323,336433.090108164
268.0,512621.0073697752,336464.3147868385
269.0,512594.2317501021,336495.18153927196
270.0,512568.54375497234,336525.9044397742
271.0,512542.2099649618,336556.2663884358
272.0,512515.96553830506,336586.3745976233
273.0,512489.8183057385,336616.23943695315
274.0,512463.74137550476,336645.85023609997
275.0,512437.7450197003,336675.2055032256
276.0,512411.8432161796,336704.31167900364
277.0,512386.06314419466,336733.17720984726
278.0,512360.48264708125,336761.81737299805
279.0,512334.98251296236,336790.22409837105
280.0,512309.7099415719,336818.39919542975
281.0,512284.67166959273,336846.34728247154
282.0,512259.9119058298,336874.06896677555
283.0,512235.4023792064,336901.5667581109
284.0,512211.13754538825,336928.8390609982
285.0,512187.15552009636,336955.87949149887
286.0,512163.489671159,336982.6805870307
287.0,512140.17541950586,337009.2338732157
288.0,512117.23073228303,337035.5298668297
289.0,512094.67151090933,337061.5579563309
290.0,512072.50839237665,337087.3068745289
291.0,512050.8283153042,337112.76495204004
292.0,512029.5523111194,337137.91976785526
293.0,512008.7339881905,337162.7610342608
294.0,511988.40383466025,337187.27888000483
295.0,511968.4932911813,337211.4648949602
296.0,511948.985981783,337235.3111246657
297.0,511929.773322131,337258.80881188886
298.0,511911.031680807,337281.95919377764
299.0,511892.5242956493,337304.75813996355
300.0,511874.29030057933,337327.20164404757
301.0,511856.3137925196,337349.2940135768
302.0,511838.5387927513,337371.03810756357
303.0,511820.9232593354,337392.4374912693
304.0,511803.46240183903,337413.49811570847
305.0,511786.0753142364,337434.2214542754
306.0,511768.73359006987,337454.6108663968
307.0,511751.4114939028,337474.6738572797
308.0,511734.0738523528,337494.41009959776
309.0,511716.6277309624,337513.8205372378
310.0,511699.23692079744,337532.9038382338
311.0,511681.9642871204,337551.6577066595
312.0,511664.84523404035,337570.0783994912
313.0,511647.87885546667,337588.1599403332
314.0,511631.0535982263,337605.8953662693
315.0,511614.3611392182,337623.2767640955
