"Iteration","volume avg. inflow (Turbine1) Monitor: volume avg. inflow (Turbine1) Monitor (m/s)","volume avg. inflow (Turbine2) Monitor: volume avg. inflow (Turbine2) Monitor (m/s)"
145.0,1.91697258943573,1.8422300693608655
146.0,1.9169734920328814,1.8422346404182026
147.0,1.916972505466665,1.8422376334430373
148.0,1.9169725397031987,1.8422413712418693
149.0,1.9169728002489412,1.8422450623235818
150.0,1.9169744081611895,1.8422493550654333
151.0,1.9169753511103842,1.8422532355195518
152.0,1.9169754475308858,1.8422556461001665
153.0,1.9169758197005775,1.8422583883578247
154.0,1.9169759402519486,1.8422607050331588
155.0,1.9169762227504374,1.842263171527546
156.0,1.9169765489143251,1.8422654843970525
157.0,1.9169772023939142,1.8422678778652746
158.0,1.9169777505788475,1.8422702930696984
159.0,1.9169782771744337,1.8422725667048658
160.0,1.9169786454042286,1.842273924418526
161.0,1.9169789978959113,1.8422754491527593
162.0,1.916978787982765,1.8422761677451043
163.0,1.9169788636130685,1.8422773386832005
164.0,1.9169790074231932,1.842278566038376
165.0,1.916979696769471,1.8422804989471386
166.0,1.9169801559186745,1.8422821098287165
167.0,1.916980531675627,1.8422833904532585
168.0,1.9169807837244919,1.8422843078336102
169.0,1.9169808204694587,1.8422848942364873
170.0,1.9169809557859292,1.8422856344264391
171.0,1.9169811274122812,1.8422864993385326
172.0,1.9169813002196274,1.84228728224609
173.0,1.916981593183199,1.8422880837745768
174.0,1.9169818289882434,1.8422888561667716
175.0,1.9169820220231848,1.8422895544752396
176.0,1.9169822259305402,1.8422902480610257
177.0,1.9169824206393724,1.842290845202868
178.0,1.9169826059751827,1.8422914471026395
179.0,1.916982740420033,1.8422918931689733
180.0,1.9169828893214143,1.8422923830544655
181.0,1.916983028549885,1.8422928338560856
182.0,1.9169831662321015,1.8422932893411121
183.0,1.916983299071326,1.8422937192438504
184.0,1.9169834293401664,1.8422941515332332
185.0,1.9169835518982208,1.8422945520493466
186.0,1.9169836599572196,1.8422948967360824
187.0,1.916983747126405,1.842295212619486
188.0,1.9169838441131315,1.8422955521654505
189.0,1.916983950244307,1.8422959088549107
190.0,1.9169840556691815,1.8422962352588708
191.0,1.9169841495006668,1.842296523391368
192.0,1.9169842249940612,1.8422967798422993
193.0,1.9169842977495573,1.8422970279269293
194.0,1.9169843482954585,1.8422972315496198
195.0,1.916984407108218,1.842297450910399
196.0,1.9169844642151528,1.842297662737982
197.0,1.9169845329646924,1.842297886291922
198.0,1.9169845959704817,1.8422981006661454
199.0,1.91698465559637,1.8422983041199057
200.0,1.916984712316006,1.8422984749335058
201.0,1.916984766047548,1.8422986517464928
202.0,1.9169848148396422,1.842298818103124
203.0,1.9169848525448574,1.842298959295138
204.0,1.9169848842088173,1.8422990856247714
205.0,1.916984914987017,1.8422992098095514
206.0,1.916984939809378,1.8422993242708674
207.0,1.9169849669369485,1.8422994430668065
208.0,1.9169849938326935,1.8422995601856373
209.0,1.916985024782091,1.8422996814849608
210.0,1.9169850532025585,1.842299794309037
211.0,1.9169850814675675,1.8422998951482887
212.0,1.916985106827105,1.8422999904230017
213.0,1.9169851235552346,1.8423000607301636
214.0,1.9169851420498951,1.8423001389523126
215.0,1.9169851592440623,1.8423002147693401
216.0,1.9169851752579314,1.842300287660638
217.0,1.9169851904821302,1.8423003589194438
218.0,1.9169852050277316,1.8423004251376225
219.0,1.9169852193443297,1.8423004839645818
220.0,1.9169852324852463,1.842300540196085
221.0,1.916985243882551,1.8423005884117
222.0,1.9169852546517312,1.8423006358088125
223.0,1.9169852636119675,1.8423006793351149
224.0,1.9169852724508807,1.84230072149026
225.0,1.9169852807569647,1.8423007616453824
226.0,1.9169852887008554,1.8423007999741952
227.0,1.9169852963030711,1.8423008362560143
228.0,1.91698530357889,1.8423008704693804
229.0,1.9169853108653807,1.8423009017922372
230.0,1.916985317610709,1.8423009315448633
231.0,1.9169853239325283,1.8423009593525859
232.0,1.9169853297818384,1.8423009850864556
233.0,1.9169853348668309,1.8423010073266104
