"Iteration","volume avg. inflow (Turbine1) Monitor: volume avg. inflow (Turbine1) Monitor (m/s)","volume avg. inflow (Turbine2) Monitor: volume avg. inflow (Turbine2) Monitor (m/s)"
1.0,2.998524671153629,2.9989043058515668
2.0,2.7303874710722544,2.726572136456025
3.0,2.6064799124693745,2.6004270929026636
4.0,2.526918588991678,2.526716978914102
5.0,2.475720894680054,2.480149765025352
6.0,2.4342571349601188,2.4437148007892104
7.0,2.396863737671662,2.4113076221204053
8.0,2.3607515409694355,2.3841839540876784
9.0,2.32383600582205,2.3562447301607023
10.0,2.29008699116148,2.3337795884159127
11.0,2.2567851383618724,2.3135499811636895
12.0,2.224505379561276,2.297650691112352
13.0,2.192240810194447,2.2860745723249356
14.0,2.1624998135569644,2.2792095979580402
15.0,2.1328954536520452,2.2776907643305466
16.0,2.1041425077820923,2.278715864566154
17.0,2.0760584040406567,2.2823655261782863
18.0,2.048074886222772,2.2855194687135443
19.0,2.020768174814675,2.287632203288167
20.0,1.9953415926287765,2.287826809084762
21.0,1.970328692176684,2.2851147867304853
22.0,1.9476448701682443,2.2793159000838523
23.0,1.9273828448990333,2.2708284602879325
24.0,1.9094273390813514,2.2593070135833613
25.0,1.8941739388474241,2.245274083338286
26.0,1.8816454680242323,2.2291297938967274
27.0,1.8717532001878336,2.2111793333212315
28.0,1.864320481586042,2.191745078534117
29.0,1.859453551427862,2.171016350980095
30.0,1.856406577200907,2.149497707631644
31.0,1.8555990290815099,2.126839872556752
32.0,1.8558752309000026,2.10400411077571
33.0,1.8578851039111723,2.0806547650751437
34.0,1.8603874519161774,2.0571291139989185
35.0,1.8639695451801173,2.0335158031304634
36.0,1.867490362803703,2.010339212177963
37.0,1.8717327765570704,1.9874966219178483
38.0,1.8757861865955339,1.9649694135746567
39.0,1.8799870248710266,1.9431396338554296
40.0,1.8838181644331216,1.9221677249018345
41.0,1.887361890261704,1.9021743174151833
42.0,1.8905135958707453,1.8833916949804146
43.0,1.8934596035994824,1.8655207371921203
44.0,1.8959829600025142,1.8491130199009314
45.0,1.8983135229309531,1.8337806500507652
46.0,1.9003038828771517,1.8200701431943016
47.0,1.902133766692927,1.8074573578288107
48.0,1.9038316326671096,1.7964376957344215
49.0,1.9052509556255393,1.7868106254431484
50.0,1.906583163318218,1.7786300148132006
51.0,1.9077480030967033,1.7717811182482839
52.0,1.908852188868312,1.7663693931042759
53.0,1.909821993640445,1.7621830280647244
