"Iteration","Torque (Turbine1) Monitor: Torque (Turbine1) Monitor (N-m)","Torque (Turbine2) Monitor: Torque (Turbine2) Monitor (N-m)"
370.0,20447.876970341105,34206.04389983493
371.0,20447.870451637584,34206.11457765665
372.0,20447.864018733177,34206.18425758032
373.0,20447.85767118851,34206.25297388192
374.0,20447.851408432598,34206.320710836066
375.0,20447.84522986662,34206.38750107743
376.0,20447.839134824815,34206.45333178874
377.0,20447.833123402925,34206.5182046743
378.0,20447.827195173293,34206.58213619002
379.0,20447.82134969226,34206.64511911344
380.0,20447.815586829525,34206.70717103187
381.0,20447.809905567723,34206.76832352915
382.0,20447.80430502564,34206.82856307552
383.0,20447.798784782088,34206.887901402675
384.0,20447.793344075384,34206.946350119346
385.0,20447.78798163173,34207.003936383735
386.0,20447.782696459457,34207.060647956896
387.0,20447.777488117055,34207.11649754413
388.0,20447.772355933106,34207.17149679258
389.0,20447.767299176387,34207.22565681928
390.0,20447.762317051307,34207.27898875985
391.0,20447.757408725443,34207.331503374066
392.0,20447.752573375445,34207.38321131295
393.0,20447.7478101875,34207.43412179923
394.0,20447.743118353446,34207.48424482191
395.0,20447.738497086426,34207.5335906352
396.0,20447.733945592587,34207.58216951387
397.0,20447.729463064734,34207.62999078835
398.0,20447.725048682605,34207.67706398414
399.0,20447.720701607825,34207.723399244016
400.0,20447.716420948564,34207.76900608311
401.0,20447.71220584658,34207.81389412126
402.0,20447.70805547721,34207.858072828814
403.0,20447.70396903302,34207.901551594645
404.0,20447.69994571565,34207.94433970986
405.0,20447.69598473081,34207.98644643416
406.0,20447.69208528955,34208.027880972935
407.0,20447.688246614398,34208.06865239935
408.0,20447.684467933163,34208.108769774706
409.0,20447.680748487808,34208.14824197229
410.0,20447.677087529642,34208.18707778788
411.0,20447.673484311534,34208.22528603008
412.0,20447.66993809573,34208.26287528133
413.0,20447.666448132542,34208.299854277124
414.0,20447.663013675658,34208.33623171451
415.0,20447.65963398242,34208.37201617197
416.0,20447.656308314843,34208.40721610581
417.0,20447.65303593943,34208.44183984284
418.0,20447.64981612855,34208.47589561151
419.0,20447.646648159647,34208.50939155579
420.0,20447.64353131785,34208.542335746526
421.0,20447.64046489515,34208.57473617081
422.0,20447.63744818999,34208.60660073883
423.0,20447.63448050879,34208.6379372806
424.0,20447.631561162285,34208.66875353508
425.0,20447.62868947037,34208.69905714996
426.0,20447.625864758455,34208.728855689915
427.0,20447.623086358464,34208.75815664292
428.0,20447.620353608545,34208.78696741864
429.0,20447.617665854035,34208.81529534431
430.0,20447.61502244442,34208.84314767561
431.0,20447.612422735743,34208.87053161022
432.0,20447.60986138967,34208.8973246956
433.0,20447.6073542265,34208.92381081179
434.0,20447.60488983978,34208.94988361052
435.0,20447.602462109717,34208.97551555804
436.0,20447.600068410604,34209.00070021954
437.0,20447.597708777837,34209.02544127461
438.0,20447.595384825436,34209.04974750965
439.0,20447.593098830046,34209.07362986804
440.0,20447.590852828464,34209.0970993926
441.0,20447.58864799524,34209.1201663688
442.0,20447.58648444678,34209.14283986784
443.0,20447.58436129536,34209.165127712076
444.0,20447.58227698574,34209.18703661918
445.0,20447.58022969908,34209.208572456846
446.0,20447.578217682796,34209.22974054022
447.0,20447.57623965082,34209.25052576223
448.0,20447.574294738217,34209.270959952
449.0,20447.572382052935,34209.291042366174
450.0,20447.57050099582,34209.31077838683
451.0,20447.568651188678,34209.33017467822
452.0,20447.566832375887,34209.34923727037
453.0,20447.565044505576,34209.3679531403
454.0,20447.563287549558,34209.3863517631
455.0,20447.56156107512,34209.40443268776
456.0,20447.559864596118,34209.42220074135
457.0,20447.558197606064,34209.43966159421
458.0,20447.556559746274,34209.45680326468
459.0,20447.554950732854,34209.47365204359
460.0,20447.553369933605,34209.49020751215
461.0,20447.55181671641,34209.506474453265
462.0,20447.550290485808,34209.522458427295
463.0,20447.54879082365,34209.538148967265
464.0,20447.54731739678,34209.55357128978
465.0,20447.545869612542,34209.568725189754
466.0,20447.544446925007,34209.58361476571
467.0,20447.543048982792,34209.59823016492
468.0,20447.541675531873,34209.61259517456
469.0,20447.540326073013,34209.6267098125
470.0,20447.539000136665,34209.64057808051
471.0,20447.53769741151,34209.654190872265
472.0,20447.536417654424,34209.6675703885
473.0,20447.535160357726,34209.68071699807
474.0,20447.533925162188,34209.69362131798
475.0,20447.532711806,34209.706304381354
476.0,20447.531519781554,34209.718766452
477.0,20447.530348607346,34209.73101113127
478.0,20447.5291979496,34209.743030337726
479.0,20447.528067552932,34209.75484371529
480.0,20447.526956962854,34209.76645110779
481.0,20447.525865862925,34209.77784398027
482.0,20447.52479401947,34209.78904110397
483.0,20447.52374101291,34209.80004251502
484.0,20447.52270655153,34209.810840274
485.0,20447.521690493668,34209.82144872802
486.0,20447.520692526465,34209.83186749516
487.0,35625.8250108546,89112.09344448856
488.0,35625.56500910355,89113.89316269141
489.0,35626.58080115443,89114.84465033689
490.0,35627.768485074674,89115.06511617792
491.0,35628.80326007695,89115.08629029061
492.0,35629.463675190025,89115.34767124643
493.0,35629.632185907,89116.11820946183
494.0,35629.327337185015,89117.62060514622
495.0,35628.650744617895,89120.19148306244
496.0,35627.62644657081,89124.19015514683
497.0,35626.39816304664,89129.35313977189
498.0,35625.05316026007,89135.57807074359
499.0,35623.70825987194,89142.64515123368
500.0,35622.44215009008,89150.56563178646
501.0,35621.35303725546,89159.73199617537
502.0,35620.50165250228,89169.78673277196
503.0,35619.76130822253,89180.30345840543
504.0,35619.2060108631,89190.91056000238
505.0,35618.799238022555,89201.19652900248
506.0,35618.494002928266,89210.88079113496
507.0,35618.29567764996,89219.85148618481
508.0,35618.12839053538,89227.9466567122
509.0,35618.02510464772,89235.18391391652
510.0,35617.94160523523,89241.56489787102
511.0,35617.87904937018,89247.12391737348
512.0,35617.83381498864,89251.92621718184
513.0,35617.8017119292,89256.0497132031
514.0,35617.78245368852,89259.554321848
515.0,35617.77230059008,89262.49756457671
516.0,35617.76852841279,89264.95414153079
517.0,35617.76840904774,89267.01987403874
