"Iteration","row-01 Mooring-01: row-01 Mooring-01 (m/s)","row-01 Mooring-02: row-01 Mooring-02 (m/s)","row-01 Mooring-03: row-01 Mooring-03 (m/s)","row-01 Mooring-04: row-01 Mooring-04 (m/s)","row-01 Mooring-05: row-01 Mooring-05 (m/s)","row-01 Mooring-06: row-01 Mooring-06 (m/s)","row-01 Mooring-07: row-01 Mooring-07 (m/s)","row-01 Mooring-08: row-01 Mooring-08 (m/s)","row-01 Mooring-09: row-01 Mooring-09 (m/s)","row-01 Mooring-10: row-01 Mooring-10 (m/s)","row-02 Mooring-01: row-02 Mooring-01 (m/s)","row-02 Mooring-02: row-02 Mooring-02 (m/s)","row-02 Mooring-03: row-02 Mooring-03 (m/s)","row-02 Mooring-04: row-02 Mooring-04 (m/s)","row-02 Mooring-05: row-02 Mooring-05 (m/s)","row-02 Mooring-06: row-02 Mooring-06 (m/s)","row-02 Mooring-07: row-02 Mooring-07 (m/s)","row-02 Mooring-08: row-02 Mooring-08 (m/s)","row-02 Mooring-09: row-02 Mooring-09 (m/s)","row-02 Mooring-10: row-02 Mooring-10 (m/s)","BuoyancyPod-01: BuoyancyPod-01 (m/s)","BuoyancyPod-02: BuoyancyPod-02 (m/s)","BuoyancyPod-03: BuoyancyPod-03 (m/s)","BuoyancyPod-04: BuoyancyPod-04 (m/s)","BuoyancyPod-05: BuoyancyPod-05 (m/s)","BuoyancyPod-06: BuoyancyPod-06 (m/s)","BuoyancyPod-07: BuoyancyPod-07 (m/s)","BuoyancyPod-08: BuoyancyPod-08 (m/s)","BuoyancyPod-09: BuoyancyPod-09 (m/s)","BuoyancyPod-10: BuoyancyPod-10 (m/s)","BuoyancyPod-11: BuoyancyPod-11 (m/s)","BuoyancyPod-12: BuoyancyPod-12 (m/s)","BuoyancyPod-13: BuoyancyPod-13 (m/s)"
1.0,0.048904046980779464,1.451411802091548,0.1287357810673102,0.47693061884503835,0.13572572699109756,0.1355626612053536,0.4781208254863829,0.1293274836440855,1.450296637393737,0.04901002462874792,0.7914575211911374,0.035202628949220646,0.794382928423424,0.1345488629599698,0.4031669216625364,0.39773881773287495,0.1343145094685071,0.7929365994121943,0.03499509991860532,0.7914217500155587,0.3277455175897128,0.34896912336365843,0.36578789845495585,0.34991711375078727,0.3272416718142393,0.250566587825977,0.2878582029936634,0.28669942720538266,0.2504110534296446,1.6056892204529765,1.614385912473735,2.0331955295585753,2.0325861662472287
2.0,0.083821541221736,1.3931085523555449,0.15748474585987915,0.5531568187343079,0.21530707752918465,0.21588129960758037,0.5507638997523331,0.1557449373090488,1.3918534257322464,0.08312403080385415,0.8737382538697701,0.06110768349641041,0.847793799396554,0.15944469759653465,0.42657333912920187,0.4243486866762346,0.15974061461316508,0.8449855175757961,0.06217497588548238,0.8781970438259533,0.382549296183407,0.4042900645447039,0.4150814591597189,0.40083590576275274,0.3798047755321182,0.2990845061496578,0.320523239956914,0.32050818495236755,0.3019313995015113,1.735002587196854,1.7357832279477572,2.01458931903062,2.0179671637538763
3.0,0.1657914442784758,1.3604180771773358,0.25135176148926863,0.6555971777891538,0.3027438101889927,0.2983171319469442,0.6573955773204436,0.2513652176439512,1.3581431109836033,0.166475725998079,0.9733739281003041,0.10629271801264922,0.8580011593703664,0.2160906276157066,0.48896288171127444,0.48636680921306474,0.21658600578759665,0.8566689998051936,0.10732575758320201,0.975385909144443,0.49368202836064246,0.48109606074846145,0.4975052232859,0.4802988578503193,0.49336373719017673,0.40593406392118186,0.384063102928723,0.38429617884432365,0.4090189469666868,1.6030136773893269,1.6017302855442304,1.9957947542203087,1.999005608712753
4.0,0.27160197842271716,1.3335505001046064,0.3244448247707003,0.7557165352054926,0.3777427530512511,0.3716602689087134,0.7582210263821929,0.3254475899453222,1.332066581293636,0.27294039453511204,1.0320375031835933,0.15648024248975,0.8700225786716558,0.2652273684758328,0.5396832732738625,0.535621505734116,0.26528323020055683,0.8663495052683595,0.1566443982640617,1.0297161940643549,0.5836573664851447,0.553516124322541,0.5721184304031336,0.5551931010074155,0.5833988510818864,0.4745200452284814,0.4317635582521468,0.4307597587166322,0.47407128730488335,1.5400171352765257,1.5414790216512038,1.9589669167533468,1.9659599517070423
5.0,0.3776157705921679,1.3006411133485638,0.3802875614380091,0.8385438231793072,0.4481624822081096,0.43957332996376985,0.8421561418086647,0.38270049100516157,1.2988241168420798,0.37884033825981955,1.0632015995501194,0.2224733590853795,0.8843270662783921,0.3189671724356505,0.5803745052574095,0.5758169573000806,0.31907433977195976,0.8795343217890975,0.22031430135759786,1.0561807329582682,0.6594011503503976,0.6156690785516089,0.6344043173495273,0.617739746065393,0.657571296217577,0.5301998749736991,0.4744815841538045,0.473609927779175,0.5281521527115479,1.5427631122509355,1.5471684754230794,1.9175713964748913,1.9263449392283565
6.0,0.4849485687871927,1.2706100322448144,0.4357220653097329,0.9076279543035585,0.5208414591102835,0.510644792547031,0.9121878330923056,0.439259311688626,1.2684773746540146,0.48493537939442244,1.0738476243303618,0.2884579829778944,0.8926142414384097,0.37252643344175435,0.6111843701732715,0.6062952842265981,0.37309721960899156,0.8867089315560133,0.28383429376519,1.062605941425708,0.7331482726456611,0.6788443550152824,0.6967861063641468,0.6811486180285271,0.7297121125547618,0.5765969758400828,0.511283843828678,0.5104328724307983,0.5732504726802881,1.5790273715235112,1.5832105462453716,1.8789490128896293,1.890615293189191
7.0,0.5832559290167916,1.2438894406205538,0.4895077266697733,0.9644339308899257,0.5935388974472124,0.5829237035035326,0.9701854676317813,0.49412212859048665,1.2416345958261814,0.5845347398076335,1.0729362324170038,0.3473275614330224,0.8926135326925344,0.42157389787463506,0.6364220893755175,0.6317059599966146,0.4223168272033603,0.8868148762044141,0.34120895297706433,1.0600275353855655,0.8029834452560447,0.7403964634232293,0.7575080309769859,0.7432378711651162,0.7992986540804619,0.6155181038137525,0.5444970851651931,0.5437310435552449,0.6116458278260004,1.6116590175457322,1.6140778336258814,1.8544985614741578,1.8697344539486696
8.0,0.6707712272193654,1.2216240279099804,0.542286894358202,1.00975794072601,0.6632867995471231,0.6530044386855738,1.0157742642962386,0.5475798735932428,1.218704170560741,0.6736553800563613,1.0623769902976958,0.4029162740384184,0.8819971760242559,0.46535440785117127,0.6598897806967041,0.6555968338322865,0.46644792058549517,0.8763401799702727,0.39687413732337995,1.047119653567551,0.8683988487914057,0.7984693898414051,0.8144104767171036,0.801408136825246,0.864001222314122,0.6487802401180359,0.5770096366929984,0.5764837701269877,0.6447706240213679,1.6237339186165431,1.6228952498107942,1.850674226357115,1.8691010877542122
9.0,0.7436447580374219,1.2070437342443028,0.5948943841507993,1.0450799340205288,0.7283272927953941,0.7187007866767068,1.0511978088255982,0.6006741033270422,1.2040032824846962,0.7496395707615487,1.0348547860732062,0.45176856916159314,0.8611148049872858,0.5039437799034673,0.6829975780675314,0.6793450944645232,0.5053344670406438,0.8563510751399933,0.446996018100851,1.0173113619491863,0.9275484575493473,0.8522921168791007,0.8668573961283074,0.855625611252252,0.9228915032331142,0.6766491598409633,0.6095091027285899,0.6092878215868713,0.6733685911562752,1.6151034438067327,1.610472504261025,1.866524929857047,1.8875301911166842
10.0,0.8007658509006539,1.2019901929685255,0.6455746863969474,1.0712351388964585,0.7868517612602212,0.7779860154525422,1.0773356238936718,0.6518537405276215,1.199178986652434,0.809592472217156,0.9848497067359236,0.49215793056224466,0.8357278176227622,0.538745999466944,0.7055938205108709,0.7026175414331057,0.5403013004871607,0.8322657478219581,0.48955833902703116,0.9651895652564395,0.9804437389731782,0.9005002470602878,0.9138266482203952,0.9044550082552486,0.9755704265772646,0.7007553962238479,0.642812984142988,0.6427439747448962,0.6986396085962718,1.5888664450048549,1.5807827132646417,1.89638401990296,1.9186273053935095
