"Iteration","volume avg. inflow (row-1_turbine-1) Monitor: volume avg. inflow (row-1_turbine-1) Monitor (m/s)","volume avg. inflow (row-1_turbine-2) Monitor: volume avg. inflow (row-1_turbine-2) Monitor (m/s)","volume avg. inflow (row-1_turbine-3) Monitor: volume avg. inflow (row-1_turbine-3) Monitor (m/s)","volume avg. inflow (row-1_turbine-4) Monitor: volume avg. inflow (row-1_turbine-4) Monitor (m/s)","volume avg. inflow (row-1_turbine-5) Monitor: volume avg. inflow (row-1_turbine-5) Monitor (m/s)","volume avg. inflow (row-2_turbine-1) Monitor: volume avg. inflow (row-2_turbine-1) Monitor (m/s)","volume avg. inflow (row-2_turbine-2) Monitor: volume avg. inflow (row-2_turbine-2) Monitor (m/s)","volume avg. inflow (row-2_turbine-3) Monitor: volume avg. inflow (row-2_turbine-3) Monitor (m/s)","volume avg. inflow (row-2_turbine-4) Monitor: volume avg. inflow (row-2_turbine-4) Monitor (m/s)"
1.0,0.9942461768977583,0.75388898901539,0.728423683001997,0.7594043048045548,0.9958060247183088,0.6991879636888615,0.5436915660690087,0.5448886903307596,0.6988906610577964
2.0,1.0435440254934911,0.8009574698688845,0.7803490753596984,0.8024252348847873,1.041743835901841,0.7482137200389481,0.5870956657821064,0.588740165500376,0.7493155518706692
3.0,1.066943861306158,0.8488921200333847,0.8290911020802754,0.8517055089870311,1.0671713526618003,0.7787022846729761,0.6294937305638343,0.6304248374864052,0.7791168976988827
4.0,1.0913296646618276,0.8984406449773212,0.8786459503212661,0.9017303116561427,1.0916543143685826,0.7890390420663981,0.6652614780912167,0.6670181472574218,0.789581322703781
5.0,1.1046096263993084,0.9376511939200053,0.918084001264617,0.9411768714922831,1.105120523282609,0.778034451171954,0.6961991076525907,0.6988352876217389,0.7766075564956838
6.0,1.1110544202933805,0.9690871813837771,0.9519781001556654,0.9722254021318294,1.1108821052122648,0.7560133933131329,0.7287309929075387,0.7317372459107462,0.7554027592980986
7.0,1.1144770077950406,0.9967116669986779,0.9822587679861638,0.9995548573015467,1.114199266342921,0.7374097934622857,0.7705383100576982,0.7737953987013588,0.7402250193371716
8.0,1.1168055003029083,1.0211563403054718,1.0095843732982985,1.0237121034950645,1.1161251323969532,0.7338031646298916,0.8225681776585034,0.8246324808416018,0.7411960559550101
9.0,1.1167368001974889,1.0417257004024694,1.0331587247355536,1.043832329859857,1.1154458290120328,0.7481671764136113,0.8816647114424198,0.8820709147804828,0.7572080637851512
10.0,1.1142291384255707,1.0579711629604078,1.052078406990372,1.0596565706136583,1.112631758754841,0.7690886299491234,0.9475896142112649,0.9457492357289655,0.7747954390694958
