"Iteration","row-01 Mooring-01: row-01 Mooring-01 (m/s)","row-01 Mooring-02: row-01 Mooring-02 (m/s)","row-01 Mooring-03: row-01 Mooring-03 (m/s)","row-01 Mooring-04: row-01 Mooring-04 (m/s)","row-01 Mooring-05: row-01 Mooring-05 (m/s)","row-01 Mooring-06: row-01 Mooring-06 (m/s)","row-01 Mooring-07: row-01 Mooring-07 (m/s)","row-01 Mooring-08: row-01 Mooring-08 (m/s)","row-01 Mooring-09: row-01 Mooring-09 (m/s)","row-01 Mooring-10: row-01 Mooring-10 (m/s)","row-02 Mooring-01: row-02 Mooring-01 (m/s)","row-02 Mooring-02: row-02 Mooring-02 (m/s)","row-02 Mooring-03: row-02 Mooring-03 (m/s)","row-02 Mooring-04: row-02 Mooring-04 (m/s)","row-02 Mooring-05: row-02 Mooring-05 (m/s)","row-02 Mooring-06: row-02 Mooring-06 (m/s)","row-02 Mooring-07: row-02 Mooring-07 (m/s)","row-02 Mooring-08: row-02 Mooring-08 (m/s)","row-02 Mooring-09: row-02 Mooring-09 (m/s)","row-02 Mooring-10: row-02 Mooring-10 (m/s)","BuoyancyPod-01: BuoyancyPod-01 (m/s)","BuoyancyPod-02: BuoyancyPod-02 (m/s)","BuoyancyPod-03: BuoyancyPod-03 (m/s)","BuoyancyPod-04: BuoyancyPod-04 (m/s)","BuoyancyPod-05: BuoyancyPod-05 (m/s)","BuoyancyPod-06: BuoyancyPod-06 (m/s)","BuoyancyPod-07: BuoyancyPod-07 (m/s)","BuoyancyPod-08: BuoyancyPod-08 (m/s)","BuoyancyPod-09: BuoyancyPod-09 (m/s)","BuoyancyPod-10: BuoyancyPod-10 (m/s)","BuoyancyPod-11: BuoyancyPod-11 (m/s)","BuoyancyPod-12: BuoyancyPod-12 (m/s)","BuoyancyPod-13: BuoyancyPod-13 (m/s)"
1.0,0.052525948764494616,1.5755750617806201,0.13949921752645847,0.5175294351815424,0.14716197191925434,0.14690658963635458,0.5187740171766283,0.13902345598906754,1.5754265913620598,0.052173003937560816,0.8848587862956659,0.038851680316591274,0.8791303564168181,0.14872811669966926,0.4463530893973022,0.4402880447188886,0.14893548487251093,0.8805065945922436,0.03893327371676608,0.886427133059007,0.3537199832699028,0.37790171934067907,0.39708575116160827,0.3780597668882937,0.35339198997615334,0.27790499742845914,0.3189934873924352,0.31818147543434927,0.27925197922025513,1.7674496510073354,1.7635480881099765,2.291752289134392,2.2909190960052053
2.0,0.10925979289153524,1.5316601054381505,0.1907092197457857,0.626026411367588,0.2529526614026678,0.25241569286493365,0.6218251105198931,0.1889439314015326,1.533750603948563,0.10900000889355098,0.980946736914009,0.07727869794706874,0.9488466481345582,0.1853860118376244,0.48542762767936665,0.4789471740630351,0.18483133645044755,0.945293015424603,0.0752121195671822,0.9856445766743934,0.44237976672522344,0.465951122790384,0.47794957938911636,0.46132916597043894,0.4454336048818694,0.343078679302396,0.36677854198469245,0.3668817881499659,0.3434009092755931,1.9279535218057773,1.9311122463754036,2.2816156896323383,2.2818703073290094
3.0,0.1999453497943921,1.4833289841672572,0.2764642017256478,0.7192358907012113,0.33916753467689253,0.33668742782271455,0.7241937134485853,0.2762662032209063,1.483657765097258,0.199524336629014,1.086149167727439,0.13289540681096726,0.9630216202294485,0.2658914855242859,0.5641731182150489,0.5571418734162408,0.26398959490219126,0.9603361447198697,0.13106046662100346,1.0847710837903648,0.5348370345189847,0.5290413279405992,0.5454750213087844,0.5311031100332995,0.5375095677533936,0.4589143887214406,0.45110633980324993,0.45071749476122647,0.4589869338757629,1.7703176929719584,1.7730280749536504,2.2641512369633245,2.2648541826641946
4.0,0.3300538121392871,1.4468705016355328,0.3580029398998515,0.8224902342739746,0.4229993718175916,0.4206059666937416,0.8327321290368047,0.3601574337677708,1.4469008295802914,0.3317294060848032,1.1362565084801863,0.20203428731423706,0.9647578116695507,0.3185379742257148,0.6091133044767041,0.6027538707097557,0.3180469661566353,0.9612827310109755,0.20199558904528253,1.1242395955632347,0.6310185949714853,0.6039686771907758,0.6248759686881205,0.6098568611753689,0.6347342588596978,0.525872903724691,0.493084744322935,0.492742637402566,0.5268915105339605,1.687421822940014,1.6894863268420148,2.2126119801403705,2.215086090770501
5.0,0.45102515688005757,1.4029158082048965,0.4233323900516413,0.9078611097914148,0.500973311459651,0.4984121261764403,0.9207405788191725,0.4240536775858598,1.4029228009526737,0.45567736556877564,1.163281982903509,0.2780741614784609,0.9785526200184619,0.38282791946965805,0.6537180171073546,0.6491535592848992,0.3829333202864412,0.9736138446100868,0.28037851534481784,1.1437096277006478,0.7128736401797704,0.671292828977339,0.6923891681629153,0.6778674365929629,0.7173092505686698,0.5884448720081717,0.5441974579414334,0.5440693953009782,0.5902801254207716,1.6757158880314544,1.6774006724964867,2.1586588681784384,2.162935294045841
6.0,0.566943295753342,1.3599794597242891,0.48579925437579186,0.9764636726777648,0.5799145073930371,0.5776772822267215,0.9919684609695634,0.48759949718288376,1.3593130000946176,0.5737636350865073,1.1704634220630412,0.35569348232334974,0.9864773134135633,0.4462555941169894,0.6896321123110771,0.6866867688073581,0.4462747212105437,0.9812526879270347,0.35870153186756515,1.1489511316736665,0.79148475859335,0.7388834293973094,0.759092912579166,0.7456032348838886,0.7959377195491849,0.6429477119292131,0.5911704076424875,0.5909145319095221,0.6446836254049183,1.7010700309901603,1.701389008058741,2.1100133554736438,2.1172990651884946
7.0,0.6763191205422493,1.3242716001018953,0.5493690943532478,1.033433681134888,0.6601695288836875,0.6583228643888912,1.0512157500371009,0.5519176509637358,1.3224746246363626,0.6843638235384637,1.163695463515014,0.4292204011410656,0.9796258166729959,0.5008786582705056,0.71564631416961,0.7144580985017324,0.5007449181655516,0.9744742634935746,0.43231975285257696,1.1457616632239065,0.867544391930591,0.8081918217525329,0.827473389896716,0.814171762963059,0.8719200219294031,0.686098384611955,0.6298082033772237,0.6291198464967748,0.6869550702377965,1.7256234494054725,1.7241752476129715,2.078677126461761,2.0873429978704907
8.0,0.7709005325566515,1.2930803380324294,0.6096899789171629,1.076726721449293,0.7341057713445244,0.7328155651983821,1.0953149235482134,0.6130907218897841,1.2900897318764095,0.7795719677907105,1.1478749111378042,0.49530665480272595,0.9664028172251581,0.5516099405022137,0.7454374768718735,0.7453052625826305,0.5515331843669412,0.9616070852788755,0.5005326939079839,1.1409753605315207,0.9336969549670338,0.8695953432888914,0.8868197217003985,0.8751184299054497,0.9374896241985158,0.723749605521993,0.6718083161000318,0.670694512310419,0.724361379714452,1.7255278032409733,1.7228163666598193,2.0763452884982576,2.0847495090402086
9.0,0.8516411300237955,1.2704934479649082,0.6704549674356015,1.1087906719976925,0.8021920482144953,0.8014551983632741,1.1276398507128178,0.674675590041879,1.2665334125897076,0.8606837565503376,1.1095033126580507,0.5522889621820042,0.9395091804927617,0.597009640116107,0.7748601698470422,0.7751294268190989,0.5968918238309497,0.9354634710439939,0.5592482016311733,1.1203070530353603,0.9938171818493508,0.9258680500085941,0.9416056164492345,0.9316881105621877,0.99715550515009,0.7559314773052942,0.7138655860184634,0.7118388917941553,0.7565809887395993,1.7042186229547274,1.7013934618460889,2.0964435740561798,2.1032473761172943
10.0,0.9160624044214976,1.2601631156621782,0.7291363108393325,1.131148576184661,0.8631454069613081,0.8629520539729334,1.149868794121512,0.7339308921242556,1.2558799348516851,0.9250378075851645,1.0461315076549227,0.601328331634577,0.9072071525362738,0.6381679989793438,0.8021080397450747,0.8027141269770717,0.6380458181848161,0.9037310265736123,0.6092696663125577,1.0756214059399418,1.0476850515611729,0.9761576459572344,0.9905562783542198,0.9820976777742154,1.0502531098472119,0.7851574210505882,0.7554596464529698,0.7526405396490932,0.7853617746498286,1.667221307899818,1.6640773318079751,2.131605256326423,2.134387380725399
