"Iteration","volume avg. inflow (Turbine1) Monitor: volume avg. inflow (Turbine1) Monitor (m/s)","volume avg. inflow (Turbine2) Monitor: volume avg. inflow (Turbine2) Monitor (m/s)"
1.0,1.423281143678372,0.8944482650544489
2.0,1.609581163929842,0.8420989977178666
3.0,1.803377496802142,0.7099983630804415
4.0,1.952163889838729,0.591204348422513
5.0,2.056974673115228,0.5277291710343974
6.0,2.137362598449348,0.5164747723680071
7.0,2.20377894282656,0.5157107782179489
8.0,2.2504525100733006,0.5181422639946889
9.0,2.2862767085478195,0.5298872818571035
10.0,2.3114636214562823,0.5698510748251274
11.0,2.3299841899055447,0.6327346744938387
12.0,2.3451411569288814,0.6959492207522421
13.0,2.352398903261208,0.7501165566142907
