"Turbulence_Intensity_(local)","X (m)","Y (m)","Z (m)"
0.128157909801809,130,25,30
0.108176337443316,132.5,25,30
0.120631217475491,135,25,30
0.114212300332403,137.5,25,30
0.114212300332403,140,25,30
0.118871194794119,142.5,25,30
0.109586982520282,145,25,30
0.115770970405006,147.5,25,30
0.115770970405006,150,25,30
0.115770970405006,152.5,25,30
0.132835967231192,155,25,30
0.112654764312161,157.5,25,30
0.112654764312161,160,25,30
0.112654764312161,162.5,25,30
0.112654764312161,165,25,30
0.121271795030473,167.5,25,30
0.108512823311873,170,25,30
0.108512823311873,172.5,25,30
0.108512823311873,175,25,30
0.108512823311873,177.5,25,30
0.121612237789204,180,25,30
0.121612237789204,182.5,25,30
0.105114178497671,185,25,30
0.105114178497671,187.5,25,30
0.119859678213931,190,25,30
0.112942166495389,192.5,25,30
0.112942166495389,195,25,30
0.112942166495389,197.5,25,30
0.116216722106154,200,25,30
0.116216722106154,202.5,25,30
0.116216722106154,205,25,30
0.111658260695013,207.5,25,30
0.111658260695013,210,25,30
0.111658260695013,212.5,25,30
0.107059622850939,215,25,30
0.107059622850939,217.5,25,30
0.107059622850939,220,25,30
0.107059622850939,222.5,25,30
0.109557222715268,225,25,30
0.109557222715268,227.5,25,30
0.112261939616148,230,25,30
0.112261939616148,232.5,25,30
0.112261939616148,235,25,30
0.112261939616148,237.5,25,30
0.10355735249418,240,25,30
0.10355735249418,242.5,25,30
0.114814741838851,245,25,30
0.105625122012828,247.5,25,30
0.105625122012828,250,25,30
0.105625122012828,252.5,25,30
0.105625122012828,255,25,30
0.118468664971529,257.5,25,30
0.106777792005307,260,25,30
0.106777792005307,262.5,25,30
0.106777792005307,265,25,30
0.106777792005307,267.5,25,30
0.111370596888225,270,25,30
0.111370596888225,272.5,25,30
0.111370596888225,275,25,30
0.111370596888225,277.5,25,30
0.107924082041627,280,25,30
0.107924082041627,282.5,25,30
0.107924082041627,285,25,30
0.115361473538228,287.5,25,30
0.10578495774705,290,25,30
0.10578495774705,292.5,25,30
0.10578495774705,295,25,30
0.102502871950897,297.5,25,30
0.102502871950897,300,25,30
0.102502871950897,302.5,25,30
0.113171158394358,305,25,30
0.103680781656231,307.5,25,30
0.103680781656231,310,25,30
0.103680781656231,312.5,25,30
0.103680781656231,315,25,30
0.103680781656231,317.5,25,30
0.112557275408386,320,25,30
0.112557275408386,322.5,25,30
0.103793975797204,325,25,30
0.103793975797204,327.5,25,30
0.103793975797204,330,25,30
0.103793975797204,332.5,25,30
0.107532390238815,335,25,30
0.107532390238815,337.5,25,30
0.107532390238815,340,25,30
0.107532390238815,342.5,25,30
0.107532390238815,345,25,30
0.107532390238815,347.5,25,30
0.103459979778778,350,25,30
0.109569188173601,352.5,25,30
0.109569188173601,355,25,30
0.101089441165994,357.5,25,30
0.101089441165994,360,25,30
0.101089441165994,362.5,25,30
0.103975445201908,365,25,30
0.103975445201908,367.5,25,30
0.103975445201908,370,25,30
0.103975445201908,372.5,25,30
0.103975445201908,375,25,30
0.108046750558494,377.5,25,30
0.108046750558494,380,25,30
0.108046750558494,382.5,25,30
0.108046750558494,385,25,30
0.108046750558494,387.5,25,30
0.106747208975864,390,25,30
0.106747208975864,392.5,25,30
0.103386137504029,395,25,30
0.103386137504029,397.5,25,30
0.103386137504029,400,25,30
0.100227803881051,-70,25,30
0.100227803881051,-67.5,25,30
0.0999974510385722,-100,25,30
0.0999974510385722,-97.5,25,30
0.0999974510385722,-95,25,30
0.10001491545367,-92.5,25,30
0.10001491545367,-90,25,30
0.10001491545367,-87.5,25,30
0.100118366742341,-85,25,30
0.100118366742341,-82.5,25,30
0.100118366742341,-80,25,30
0.100118366742341,-77.5,25,30
0.100118366742341,-75,25,30
0.100173420588577,-72.5,25,30
0.10047267970436,-65,25,30
0.10047267970436,-62.5,25,30
0.10047267970436,-60,25,30
0.10047267970436,-57.5,25,30
0.10047267970436,-55,25,30
0.100665188490707,-52.5,25,30
0.100665188490707,-50,25,30
0.100665188490707,-47.5,25,30
0.100665188490707,-45,25,30
0.100665188490707,-42.5,25,30
0.100665188490707,-40,25,30
0.102152506341196,-37.5,25,30
0.100996222659316,-35,25,30
0.100996222659316,-32.5,25,30
0.100996222659316,-30,25,30
0.100996222659316,-27.5,25,30
0.100996222659316,-25,25,30
0.104912274466177,-22.5,25,30
0.104912274466177,-20,25,30
0.104912274466177,-17.5,25,30
0.100586487977847,-15,25,30
